compound_name,atom_index,atom_symbol,atomic_number,degree,formal_charge,valence,hybridization,is_aromatic,is_in_ring,ring_size,num_hydrogens,neighbor_c,neighbor_n,neighbor_o,neighbor_halogen,aromatic_neighbors,single_bonds,double_bonds,triple_bonds
(-)-Etomidate,8,C,6,2,0,4,2,1,1,5,1,0,2,0,0,2,0,0,0
(-)-Etomidate,9,N,7,3,0,3,2,1,1,5,0,3,0,0,0,2,1,0,0
(-)-Etomidate,10,C,6,3,0,4,3,0,0,0,1,2,1,0,0,2,3,0,0
(-)-Etomidate,11,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0
(-)-Etomidate,12,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0
(-)-Etomidate,13,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
(-)-Etomidate,14,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
(-)-Etomidate,15,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
(-)-Etomidate,16,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
(-)-Etomidate,17,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0
