cluster,degree,valence,hybridization,is_aromatic,is_in_ring,ring_size,neighbor_c,neighbor_n,neighbor_o,aromatic_neighbors,single_bonds,double_bonds,gasteiger_charge,mean_neighbor_charge,max_neighbor_charge,min_neighbor_charge
0,2.2941176470588234,3.9411764705882355,1.9999999999999993,0.9831932773109251,1.0000000000000002,5.966386554621846,2.252100840336134,5.551115123125783e-17,1.942890293094024e-16,2.0252100840336147,0.2773109243697476,0.016806722689075695,-0.05202843488980641,-0.01770974807256535,0.018311541612496422,-0.04862537512992074
1,1.1489361702127665,3.617021276595745,3.0,-1.1102230246251565e-16,0.0,-8.881784197001252e-16,1.1489361702127665,-2.7755575615628914e-17,-2.7755575615628914e-17,0.2553191489361706,1.148936170212766,8.326672684688674e-17,-0.06626894121316398,0.01772203081668854,0.020278238556644013,0.015165823076733087
2,1.4000000000000001,2.3199999999999994,2.0,-1.6653345369377348e-16,2.220446049250313e-16,4.440892098500626e-16,1.4,5.551115123125783e-17,5.551115123125783e-17,0.48,1.4,-2.7755575615628914e-17,-0.43752587033888035,0.22272265954102388,0.2556682528058269,0.18977706627622082
3,2.0555555555555554,4.0,3.0,-5.551115123125783e-17,0.11111111111111105,0.6111111111111107,1.0555555555555558,0.7222222222222221,0.2777777777777778,0.3333333333333335,2.0555555555555554,-2.7755575615628914e-17,0.042909679632285355,-0.20486372833577773,-0.06808762592070432,-0.3569780960240498
4,3.0,4.0,2.0,-1.1102230246251565e-16,0.09999999999999992,0.5499999999999998,1.0000000000000002,0.3500000000000001,1.6500000000000004,0.19999999999999996,2.0,1.0,0.2911415438057283,-0.20003738839571011,0.06620350689736479,-0.42281245968856485
5,2.5675675675675675,3.891891891891892,2.945945945945946,-1.1102230246251565e-16,0.5405405405405405,3.189189189189189,2.513513513513514,0.0540540540540541,2.7755575615628914e-17,0.2972972972972976,2.5675675675675684,2.7755575615628914e-17,-0.03137543211745636,0.01861782269591073,0.1096676478838512,-0.05201804364687217
6,1.0,1.9999999999999996,2.0,-1.1102230246251565e-16,0.0,-8.881784197001252e-16,1.0000000000000002,2.7755575615628914e-17,2.7755575615628914e-17,2.220446049250313e-16,0.0,1.0,-0.25808532726040556,0.2911415438057283,0.29114154380572826,0.2911415438057283
7,2.692307692307692,3.923076923076923,2.0,1.0,1.0,5.653846153846153,1.4615384615384615,1.0384615384615385,0.19230769230769237,2.0384615384615383,0.6923076923076923,-2.7755575615628914e-17,0.08375376312743074,-0.10757762627661026,0.05207468425518473,-0.32400158779122373
