compound_name,atom_index,atom_symbol,atomic_number,degree,formal_charge,valence,hybridization,is_aromatic,is_in_ring,ring_size,num_hydrogens,neighbor_c,neighbor_n,neighbor_o,neighbor_halogen,aromatic_neighbors,single_bonds,double_bonds,triple_bonds,gasteiger_charge,mean_neighbor_charge,max_neighbor_charge,min_neighbor_charge,PC1_raw,PC2_raw,PC1_scaled,PC2_scaled,cluster,cluster_name
Naproxen (Racemate),10,C,6,3,0,4,2,0,0,0,0,1,0,2,0,0,2,1,0,0.31018572532324495,-0.21788873419632868,0.07888074829045653,-0.48078849988584493,-3.47687134257698,1.3422760273478476,-0.025493632554489578,-5.282836940399105,4,Carbonyl Carbon
Naproxen (Racemate),11,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,-0.25175845099359756,0.31018572532324495,0.31018572532324495,0.31018572532324495,-3.5998599006968717,-2.024778146226797,-4.681965536642069,1.957193403752897,6,Carbonyl Oxygen
Naproxen (Racemate),12,O,8,1,0,2,2,0,0,0,1,1,0,0,0,0,1,0,0,-0.48078849988584493,0.31018572532324495,0.31018572532324495,0.31018572532324495,-3.693761021793915,-1.3073447700112202,-4.662678644463766,2.496517832295626,2,Electron-Rich Heteroatom
Naproxen (Racemate),13,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.05754354758773832,-0.043707414552941914,-0.03346891495532115,-0.053945914150562685,3.153075821271742,-0.7112950170405199,1.9917010920570313,1.3571204449170111,0,Aromatic Carbon
Naproxen (Racemate),14,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.053945914150562685,-0.03612251863488015,-0.014701489682021975,-0.05754354758773832,3.1528273141113465,-0.711278711992779,1.9559939834652118,1.3825890378767376,0,Aromatic Carbon
Naproxen (Racemate),15,C,6,3,0,4,2,1,1,6,0,3,0,0,0,3,0,0,0,-0.014701489682021975,-0.027965380387442285,-0.012117409376485505,-0.053945914150562685,3.6333726083485485,0.018295959202704992,2.9823489395964313,1.6057186362285998,0,Aromatic Carbon
Naproxen (Racemate),16,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.012117409376485505,0.052148944864634,0.11899937941128998,-0.014701489682021975,3.1500196802901903,-0.7179699306929095,1.568381653143327,1.7422463142047853,0,Aromatic Carbon
Paracetamol,0,C,6,1,0,4,3,0,0,0,3,1,0,0,0,0,1,0,0,0.015186599502443558,0.22074743631242583,0.22074743631242583,0.22074743631242583,-3.5525560618988306,-0.49999449940313045,-3.0748510704509937,-0.024634427888061448,1,Aliphatic sp3 Atom
Paracetamol,1,C,6,3,0,4,2,0,0,0,0,1,1,1,0,0,2,1,0,0.22074743631242583,-0.19541002176089117,0.015186599502443558,-0.3263344799019893,-3.4397514798841318,1.2645789083030463,-0.10868947812849027,-4.474402268072439,4,Carbonyl Carbon
Paracetamol,2,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,-0.2750821848831278,0.22074743631242583,0.22074743631242583,0.22074743631242583,-3.5968669559640656,-2.012924166494172,-4.278383306401258,1.5197421049567648,6,Carbonyl Oxygen
Paracetamol,3,N,7,2,0,3,2,0,0,0,1,2,0,0,0,1,2,0,0,-0.3263344799019893,0.1308340124575214,0.22074743631242583,0.04092058860261702,-3.232431828200238,0.4716931460844487,-2.3087712742344193,0.82409750317966,2,Electron-Rich Heteroatom
Paracetamol,4,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0,0.04092058860261702,-0.13202056938363224,-0.034863614124453705,-0.3263344799019893,3.144405037907466,0.5752529348931121,3.1654296645473825,-0.4995948174476745,7,Activated Aromatic/Heteroaromatic
Paracetamol,5,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.034863614124453705,0.011378380646060433,0.04092058860261702,-0.018163827310496154,3.1512978783552845,-0.7164453393106727,1.7481207842115023,1.595264630077524,0,Aromatic Carbon
Paracetamol,6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.018163827310496154,0.04018190099256866,0.11522741610959102,-0.034863614124453705,3.1503821059182227,-0.7159236625033776,1.6156733549711455,1.6835450506692196,0,Aromatic Carbon
Paracetamol,7,C,6,3,0,4,2,1,1,6,0,2,0,1,0,2,1,0,0,0.11522741610959102,-0.18143065680452353,-0.018163827310496154,-0.5079643157925783,3.10836495978995,0.6561523555018809,3.3922247537115493,-1.4470136738317965,7,Activated Aromatic/Heteroaromatic
Paracetamol,8,O,8,1,0,2,2,0,0,0,1,1,0,0,0,1,1,0,0,-0.5079643157925783,0.11522741610959102,0.11522741610959102,0.11522741610959102,-3.4451084617161096,-1.366418702987374,-3.4053394190754767,1.7281616653677363,2,Electron-Rich Heteroatom
Paracetamol,9,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.018163827310496154,0.04018190099256866,0.11522741610959102,-0.034863614124453705,3.1503821059182227,-0.7159236625033776,1.6156733549711455,1.6835450506692196,0,Aromatic Carbon
